Topic,Words
Topic 17,"iowa: 0.123, moine: 0.01854, cedar: 0.01518, crowd: 0.01398, iowan: 0.01365, poll: 0.00866, pack: 0.00836, land: 0.00692, bluff: 0.00683, nebraska: 0.00638"
Topic 18,"wind: 0.10938, turbine: 0.10425, bird: 0.05964, windfarm: 0.05008, scotland: 0.0416, farm: 0.04111, windmill: 0.04088, eagle: 0.02299, aberdeen: 0.02258, cameron: 0.02028"
Topic 19,"iran: 0.07768, iranian: 0.03814, nuclear: 0.03059, sanction: 0.01369, iraq: 0.01249, regime: 0.01183, weapon: 0.01116, protest: 0.01096, deal: 0.01026, nuke: 0.01"
Topic 20,"border: 0.02333, immigration: 0.01851, security: 0.01768, wall: 0.01619, loophole: 0.01602, lottery: 0.01239, democrat: 0.01162, southern: 0.01084, shutdown: 0.0104, open: 0.00968"
Topic 21,"poll: 0.0659, lead: 0.02097, leading: 0.01791, pollwatch: 0.0167, reuter: 0.01537, number: 0.01318, polling: 0.01215, zogby: 0.00812, straw: 0.0079, margin: 0.00753"
Topic 22,"brandon: 0.04355, eric: 0.04262, thank: 0.02967, wilson: 0.02842, jessica: 0.02785, nicole: 0.02478, sarah: 0.02446, scott: 0.02216, andrew: 0.02216, joey: 0.02153"
Topic 23,"biden: 0.0587, black: 0.01556, hunter: 0.01493, predator: 0.01317, teleprompter: 0.01182, sleepy: 0.00999, vice: 0.00828, basement: 0.00786, overcome: 0.00771, enthusiasm: 0.00661"
Topic 24,"golf: 0.08455, course: 0.03895, golfer: 0.02653, club: 0.02286, championship: 0.01716, play: 0.01497, westchester: 0.01372, golfing: 0.01298, tiger: 0.01067, channel: 0.01062"
Topic 25,"debate: 0.09424, tweeting: 0.02109, moderator: 0.01987, deplorable: 0.01179, tonight: 0.00962, stage: 0.00946, night: 0.00891, performance: 0.00868, presidential: 0.00849, tweet: 0.00823"
Topic 26,"debt: 0.12299, ceiling: 0.04763, deficit: 0.04365, fiscal: 0.03922, budget: 0.03308, cliff: 0.03161, trillion: 0.02802, scary: 0.01765, spending: 0.01738, curb: 0.01709"
Topic 27,"unemployment: 0.10653, lowest: 0.03678, rate: 0.02563, african: 0.01957, depression: 0.01935, hispanic: 0.01864, wage: 0.01863, employment: 0.01812, recovery: 0.014, number: 0.0137"
Topic 28,"potu: 0.13445, remark: 0.0082, deliver: 0.00819, amir: 0.00733, brief: 0.00677, brock: 0.00653, duke: 0.00653, whitehouse: 0.00632, ceremony: 0.00615, live: 0.00606"
Topic 29,"syria: 0.09771, turkey: 0.04134, kurd: 0.03977, assad: 0.02667, rebel: 0.026, syrian: 0.02474, chemical: 0.01817, caliphate: 0.01741, attack: 0.0161, civilian: 0.01404"
Topic 30,"schiff: 0.11175, adam: 0.08816, shifty: 0.02601, chairman: 0.01795, censure: 0.01516, gutfeld: 0.01246, lying: 0.01242, resign: 0.00922, corrupt: 0.00824, contact: 0.00818"
Topic 31,"president: 0.0153, change: 0.01416, bush: 0.01006, think: 0.00921, make: 0.00883, neither: 0.00876, competent: 0.00874, thinker: 0.00836, running: 0.00763, yeah: 0.00669"
Topic 32,"book: 0.07758, reading: 0.03222, read: 0.0278, written: 0.01574, deal: 0.01367, trigger: 0.01237, champion: 0.01227, pirro: 0.01075, write: 0.0105, insight: 0.01021"
Topic 33,"save: 0.05061, need: 0.03917, please: 0.03242, country: 0.0238, leadership: 0.01522, president: 0.01145, someone: 0.01044, saving: 0.01016, leader: 0.00886, america: 0.00867"
Topic 34,"impeachment: 0.07266, impeach: 0.02227, proces: 0.02043, sham: 0.01811, partisan: 0.01608, democrat: 0.01391, charade: 0.0137, inquiry: 0.0135, article: 0.01012, resolution: 0.00994"
Topic 35,"thank: 0.01823, donald: 0.01664, trump: 0.01263, bless: 0.00837, prez: 0.00778, epic: 0.00727, love: 0.00725, honesty: 0.00713, nice: 0.00655, disappoint: 0.00644"
Topic 36,"tariff: 0.04786, trade: 0.03607, barrier: 0.02297, countrie: 0.0191, european: 0.01692, farmer: 0.01654, product: 0.01568, fair: 0.01549, aluminum: 0.01431, deal: 0.01295"
Topic 37,"trump: 0.0205, bush: 0.01047, http: 0.00998, bulli: 0.00817, blockbuster: 0.00817, katherine: 0.00817, bannon: 0.0079, backstage: 0.0079, boehner: 0.0079, durst: 0.0079"
Topic 38,"ukraine: 0.09178, ukrainian: 0.06328, pressure: 0.02743, transcript: 0.01773, quid: 0.01645, phone: 0.01642, conversation: 0.01404, perfect: 0.0123, call: 0.01144, hunter: 0.00999"
Topic 39,"rubio: 0.08909, cruz: 0.0843, marco: 0.07824, lightweight: 0.02851, liar: 0.01756, senator: 0.0122, lyin: 0.01133, disloyal: 0.011, choker: 0.01078, trick: 0.0099"
